目录ID,目录名称,剂型,规格,生产企业,2017 4th price,2017 4th 目录类,2017 4th 报名企业家数,2017 3rd,2017 3rd price,2017 3rd 目录类,2017 3rd 报名企业家数,2017 2nd,2017 2nd price,2017 2nd 目录类,2017 2nd 报名企业家数,2017 1st,2017 1st price,2017 1st目录类,2017 1st报名企业家数,4th vs 1st,4th vs 1st %
3497,阿莫西林克拉维酸钾-片剂-0.25g:0.125g(2:1)(阿莫西林:克拉维酸),片剂,0.25g:0.125g(2:1)(阿莫西林:克拉维酸),石药集团中诺药业(石家庄)有限公司,0.8342,其他基本药物,15,Y,0.8467,其他基本药物,15,Y,0.8467,其他基本药物,15,Y,0.8467,其他基本药物,15,-0.0125,-1.48%
3498,阿莫西林克拉维酸钾-片剂-0.25g:62.5mg(4:1)(阿莫西林:克拉维酸),片剂,0.25g:62.5mg(4:1)(阿莫西林:克拉维酸),先声药业有限公司,1.2,其他基本药物,5,Y,1.2,其他基本药物,5,Y,1.2,其他基本药物,5,Y,0.989,其他基本药物,3,0.211,21.33%
3499,阿莫西林克拉维酸钾-片剂-阿莫西林:克拉维酸=7:1(1.0g(0.875g/0.125g)),片剂,阿莫西林:克拉维酸=7:1(1.0g(0.875g/0.125g)),海南天祥药业有限公司,1.98,其他基本药物,7,Y,1.98,其他基本药物,7,Y,2.08,其他基本药物,7,Y,2.1,其他基本药物,5,-0.12,-5.71%
3504,阿莫西林克拉维酸钾-注射用无菌粉末-250mg:50mg(5:1)(阿莫西林:克拉维酸),注射用无菌粉末,250mg:50mg(5:1)(阿莫西林:克拉维酸),哈药集团制药总厂,2.94,其他基本药物,5,Y,2.94,其他基本药物,5,Y,2.94,其他基本药物,5,Y,2.944,其他基本药物,5,-0.004,-0.14%
3505,阿莫西林克拉维酸钾-注射用无菌粉末-500mg:100mg(5:1)(阿莫西林:克拉维酸),注射用无菌粉末,500mg:100mg(5:1)(阿莫西林:克拉维酸),湖南科伦制药有限公司,2.5,其他基本药物,19,Y,2.45,其他基本药物,18,Y,2.45,其他基本药物,18,Y,2.468,其他基本药物,18,0.032,1.30%
3506,阿莫西林克拉维酸钾-注射用无菌粉末-1000mg:200mg(5:1)(阿莫西林:克拉维酸),注射用无菌粉末,1000mg:200mg(5:1)(阿莫西林:克拉维酸),北京悦康凯悦制药有限公司,4.16,其他基本药物,25,Y,4.16,其他基本药物,24,Y,4.26,其他基本药物,24,Y,4.8,其他基本药物,24,-0.64,-13.33%
3508,阿奇霉素-片剂-0.25g(25万单位),片剂,0.25g(25万单位),浙江京新药业股份有限公司,0.3278,其他基本药物,44,Y,0.328,其他基本药物,44,Y,0.3281,其他基本药物,44,Y,0.35,其他基本药物,44,-0.0222,-6.34%
3509,阿奇霉素-胶囊剂-0.25g(25万单位),胶囊剂,0.25g(25万单位),四川维奥制药有限公司,0.57,其他基本药物,28,Y,0.5833,其他基本药物,28,Y,0.583,其他基本药物,28,Y,0.4633,其他基本药物,28,0.1067,23.03%
3511,阿奇霉素-肠溶胶囊-0.25g(25万单位),肠溶胶囊,0.25g(25万单位),浙江华润三九众益制药有限公司,5.5871,其他基本药物,3,Y,5.5871,其他基本药物,3,Y,5.5871,其他基本药物,3,Y,5.5871,其他基本药物,3,0,0.00%
3513,阿曲库铵-(顺苯磺盐)注射用无菌粉末-5mg,(顺苯磺盐)注射用无菌粉末,5mg,上药东英(江苏)药业有限公司,49.2,其他基本药物,3,Y,38,其他基本药物,2,Y,26.73,其他基本药物,2,Y,26.79,其他基本药物,2,22.41,83.65%
3514,阿曲库铵-(苯磺酸盐)注射用无菌粉末-10mg,(苯磺酸盐)注射用无菌粉末,10mg,上药东英(江苏)药业有限公司,83.9,其他基本药物,2,Y,83.9,其他基本药物,2,Y,83.9,其他基本药物,2,Y,83.9,其他基本药物,2,0,0.00%
3518,阿托伐他汀-片剂-20mg,片剂,20mg,山德士(中国)制药有限公司,4.49,其他基本药物,3,Y,4.497,其他基本药物,3,Y,4.797,其他基本药物,3,Y,4.968,其他基本药物,2,-0.478,-9.62%
3520,阿托伐他汀-胶囊剂-10mg,胶囊剂,10mg,天方药业有限公司,3.4277,其他基本药物,1,Y,3.4277,其他基本药物,1,Y,3.4277,其他基本药物,1,Y,3.4277,其他基本药物,1,0,0.00%
3521,阿托伐他汀-胶囊剂-20mg,胶囊剂,20mg,天方药业有限公司,5.8271,其他基本药物,1,Y,5.8271,其他基本药物,1,Y,5.8271,其他基本药物,1,Y,5.8271,其他基本药物,1,0,0.00%
3527,阿昔洛韦-注射用无菌粉末-0.25g,注射用无菌粉末,0.25g,浙江亚太药业股份有限公司,0.923,其他基本药物,14,Y,0.94,其他基本药物,14,Y,0.895,其他基本药物,14,Y,0.95,其他基本药物,14,-0.027,-2.84%
3528,阿昔洛韦-注射用无菌粉末-0.5g,注射用无菌粉末,0.5g,湖北华世通潜龙药业有限公司,1.4,其他基本药物,4,Y,1.4,其他基本药物,4,Y,1.42,其他基本药物,4,Y,1.45,其他基本药物,4,-0.05,-3.45%
3536,爱普列特-片剂-5mg,片剂,5mg,江苏联环药业股份有限公司,3,其他基本药物,1,Y,3,其他基本药物,1,Y,3,其他基本药物,1,Y,3,其他基本药物,1,0,0.00%
3539,安脑-丸剂-每丸重3g,丸剂,每丸重3g,哈尔滨蒲公英药业有限公司,8.8883,其他基本药物,3,Y,8.8883,其他基本药物,3,Y,8.8883,其他基本药物,3,Y,8.8883,其他基本药物,3,0,0.00%
3540,安脑-丸剂-每11丸重3g,丸剂,每11丸重3g,哈尔滨蒲公英药业有限公司,8.5357,其他基本药物,3,Y,8.5357,其他基本药物,3,Y,8.5357,其他基本药物,3,Y,8.5357,其他基本药物,3,0,0.00%
3541,安脑-片剂-薄膜衣片每片重0.5g,片剂,薄膜衣片每片重0.5g,哈尔滨蒲公英药业有限公司,3.4515,其他基本药物,3,Y,3.4515,其他基本药物,3,Y,3.4515,其他基本药物,3,Y,3.4515,其他基本药物,3,0,0.00%
3542,安神补脑-颗粒剂-每袋装1g,颗粒剂,每袋装1g,广东百科制药有限公司,2.1442,其他基本药物,2,Y,2.1442,其他基本药物,2,Y,2.1442,其他基本药物,2,Y,2.1442,其他基本药物,2,0,0.00%
3546,安神补脑-片剂-薄膜衣片每片重0.31g,片剂,薄膜衣片每片重0.31g,通化茂祥制药有限公司,0.7529,其他基本药物,3,Y,0.76,其他基本药物,3,Y,0.7529,其他基本药物,3,Y,0.67,其他基本药物,3,0.0829,12.37%
3547,安胃疡-胶囊剂-每粒含黄酮类化合物0.2g,胶囊剂,每粒含黄酮类化合物0.2g,新疆全安药业股份有限公司,0.8053,其他基本药物,3,Y,0.83,其他基本药物,3,Y,0.8314,其他基本药物,3,Y,0.8314,其他基本药物,2,-0.0261,-3.14%
3555,氨酚美伪麻与苯酚伪麻-片剂-370mg,片剂,370mg,宁波大红鹰药业股份有限公司,0.6819,其他基本药物,3,Y,0.6819,其他基本药物,3,Y,0.6819,其他基本药物,3,Y,0.6819,其他基本药物,3,0,0.00%
3557,"氨酚烷胺那敏-胶囊剂-对乙酰氨基酚300mg,盐酸金刚烷胺100mg,马来酸氯苯那敏2mg",胶囊剂,"对乙酰氨基酚300mg,盐酸金刚烷胺100mg,马来酸氯苯那敏2mg",山东华鲁制药有限公司,0.5865,其他基本药物,2,Y,0.5865,其他基本药物,2,Y,0.5865,其他基本药物,2,N,#N/A,#N/A,#N/A,#N/A,#N/A
3561,"氨酚伪麻那敏-胶囊剂-对乙酰氨基酚0.25g,盐酸伪麻黄碱15mg,马来酸氯苯那敏1mg",胶囊剂,"对乙酰氨基酚0.25g,盐酸伪麻黄碱15mg,马来酸氯苯那敏1mg",浙江奥托康制药集团股份有限公司,0.4888,其他基本药物,3,Y,0.4888,其他基本药物,3,Y,0.4888,其他基本药物,3,Y,0.4888,其他基本药物,3,0,0.00%
3564,氨基葡萄糖-(盐酸盐)片剂-0.75g,(盐酸盐)片剂,0.75g,江苏正大清江制药有限公司,3.0739,其他基本药物,3,Y,3.0739,其他基本药物,3,Y,3.0739,其他基本药物,3,Y,3.0739,其他基本药物,2,0,0.00%
3565,氨基葡萄糖-(盐酸盐)胶囊剂-0.75g,(盐酸盐)胶囊剂,0.75g,海南澳美华制药有限公司,1.22,其他基本药物,2,Y,1.199,其他基本药物,2,Y,1.27,其他基本药物,2,Y,1.46,其他基本药物,2,-0.24,-16.44%
3566,氨基葡萄糖-(硫酸盐)片剂-0.314g(相当于硫酸氨基葡萄糖0.25g),(硫酸盐)片剂,0.314g(相当于硫酸氨基葡萄糖0.25g),山西康宝生物制品股份有限公司,1.7938,其他基本药物,3,Y,1.7257,其他基本药物,3,Y,1.7938,其他基本药物,3,Y,1.7257,其他基本药物,3,0.0681,3.95%
3567,氨基葡萄糖-(硫酸盐)胶囊剂-0.314g(相当于硫酸氨基葡萄糖0.25g),(硫酸盐)胶囊剂,0.314g(相当于硫酸氨基葡萄糖0.25g),深圳市博成医药有限公司,1.6179,其他基本药物,10,Y,1.728,其他基本药物,10,Y,1.793,其他基本药物,10,Y,1.7498,其他基本药物,10,-0.1319,-7.54%
3568,氨基葡萄糖-(盐酸盐)颗粒剂-0.48g,(盐酸盐)颗粒剂,0.48g,涿州东乐制药有限公司,1.8966,其他基本药物,2,Y,1.8966,其他基本药物,2,Y,1.8966,其他基本药物,2,Y,1.8966,其他基本药物,2,0,0.00%
3569,氨基葡萄糖-(硫酸盐)颗粒剂-0.314g(相当于硫酸氨基葡萄糖0.25g),(硫酸盐)颗粒剂,0.314g(相当于硫酸氨基葡萄糖0.25g),南京海辰药业股份有限公司,1.9171,其他基本药物,2,Y,1.917,其他基本药物,2,Y,1.917,其他基本药物,2,Y,1.917,其他基本药物,2,1E-04,0.01%
3578,氨氯地平-分散片-5mg,分散片,5mg,江苏万高药业股份有限公司,1.0585,其他基本药物,15,Y,1.0585,其他基本药物,15,Y,1.3261,其他基本药物,15,Y,1.3261,其他基本药物,15,-0.2676,-20.18%
3587,胺碘酮-注射液-2ml:0.15g,注射液,2ml:0.15g,山东方明药业集团股份有限公司,23.0233,其他基本药物,1,Y,23.0233,其他基本药物,1,Y,23.0233,其他基本药物,1,Y,23.0233,其他基本药物,1,0,0.00%
3588,昂丹司琼-片剂-4mg,片剂,4mg,福安药业集团宁波天衡制药有限公司,10.56,其他基本药物,3,Y,10.8,其他基本药物,3,Y,10.56,其他基本药物,3,Y,10.5,其他基本药物,3,0.06,0.57%
3591,奥氮平-片剂-5mg,片剂,5mg,深圳市泛谷药业股份有限公司,7.69,其他基本药物,3,Y,7.79,其他基本药物,3,Y,7.69,其他基本药物,3,Y,7.79,其他基本药物,3,-0.1,-1.28%
3592,奥拉西坦-注射液-5ml:1.0g 玻璃安瓿,注射液,5ml:1.0g,河北医科大学生物医学工程中心,33.48,其他基本药物,4,Y,34.67,其他基本药物,4,Y,36.57,其他基本药物,4,Y,37.7,其他基本药物,4,-4.22,-11.19%
3593,奥拉西坦-注射用无菌粉末-1.0g,注射用无菌粉末,1.0g,石药集团欧意药业有限公司,54.3233,其他基本药物,1,Y,54.3233,其他基本药物,1,Y,54.3233,其他基本药物,1,Y,54.3233,其他基本药物,1,0,0.00%
3594,奥美拉唑-肠溶片-10mg,肠溶片,10mg,信合援生制药股份有限公司,0.1938,其他基本药物,11,Y,0.2024,其他基本药物,11,Y,0.219,其他基本药物,11,Y,0.234,其他基本药物,11,-0.0402,-17.18%
3595,奥美拉唑-肠溶片-20mg,肠溶片,20mg,湖南方盛制药股份有限公司,0.0935,其他基本药物,14,Y,0.0935,其他基本药物,14,Y,0.0935,其他基本药物,14,Y,0.0939,其他基本药物,14,-0.0004,-0.43%
3596,奥美拉唑-肠溶胶囊-10mg,肠溶胶囊,10mg,淄博万杰制药有限公司,0.3966,其他基本药物,8,Y,0.393,其他基本药物,8,Y,0.3966,其他基本药物,8,Y,0.418,其他基本药物,8,-0.0214,-5.12%
3597,奥美拉唑-肠溶胶囊-20mg,肠溶胶囊,20mg,悦康药业集团有限公司,0.0685,其他基本药物,68,Y,0.0689,其他基本药物,68,Y,0.0725,其他基本药物,67,Y,0.0725,其他基本药物,64,-0.004,-5.52%
3598,奥美拉唑-注射用无菌粉末-40mg,注射用无菌粉末,40mg,马鞍山丰原制药有限公司,0.6,其他基本药物,80,Y,0.6,其他基本药物,79,Y,0.609,其他基本药物,79,Y,0.612,其他基本药物,77,-0.012,-1.96%
3599,奥曲肽[8肽]-(醋酸盐)注射用无菌粉末-0.1mg,(醋酸盐)注射用无菌粉末,0.1mg,广东星昊药业有限公司,11.5,其他基本药物,8,Y,11.5,其他基本药物,8,Y,11.8,其他基本药物,8,Y,13,其他基本药物,8,-1.5,-11.54%
3600,奥曲肽[8肽]-(醋酸盐)注射用无菌粉末-0.3mg,(醋酸盐)注射用无菌粉末,0.3mg,长春金赛药业有限责任公司,75.6829,其他基本药物,2,Y,75.6829,其他基本药物,2,Y,75.6829,其他基本药物,2,Y,75.6829,其他基本药物,2,0,0.00%
3601,奥曲肽[8肽]-(醋酸盐)注射液-1ml:0.1mg,(醋酸盐)注射液,1ml:0.1mg,广东星昊药业有限公司,7,其他基本药物,11,Y,7,其他基本药物,11,Y,7.05,其他基本药物,11,Y,7.18,其他基本药物,10,-0.18,-2.51%
3602,奥曲肽[8肽]-(醋酸盐)注射液-1ml:0.3mg,(醋酸盐)注射液,1ml:0.3mg,海南中和药业股份有限公司,51,其他基本药物,5,Y,53.7,其他基本药物,5,Y,57,其他基本药物,5,Y,65,其他基本药物,5,-14,-21.54%
3603,奥沙利铂-注射用无菌粉末-50mg,注射用无菌粉末,50mg,海南锦瑞制药有限公司,28.8,其他基本药物,16,Y,29.7,其他基本药物,16,Y,33,其他基本药物,16,Y,36.8,其他基本药物,16,-8,-21.74%
3604,奥沙利铂-注射用无菌粉末-100mg,注射用无菌粉末,100mg,海南锦瑞制药有限公司,99,其他基本药物,5,Y,107,其他基本药物,5,Y,107,其他基本药物,5,Y,107,其他基本药物,5,-8,-7.48%
3605,奥司他韦-胶囊剂-75mg,胶囊剂,75mg,宜昌东阳光长江药业股份有限公司,13.1335,其他基本药物,2,Y,13.1335,其他基本药物,2,Y,13.1335,其他基本药物,2,Y,13.1335,其他基本药物,2,0,0.00%
3609,"奥硝唑-葡萄糖注射液-100ml:奥硝唑0.5g,葡萄糖5.0g 玻璃瓶",葡萄糖注射液,"100ml:奥硝唑0.5g,葡萄糖5.0g",南京圣和药业股份有限公司,22.538,其他基本药物,1,Y,22.538,其他基本药物,1,Y,22.538,其他基本药物,1,Y,22.538,其他基本药物,1,0,0.00%
3610,奥扎格雷-注射用无菌粉末-20mg,注射用无菌粉末,20mg,峨眉山通惠制药有限公司,5.07,其他基本药物,14,Y,5.12,其他基本药物,14,Y,5.12,其他基本药物,13,Y,3.9,其他基本药物,13,1.17,30.00%
3611,奥扎格雷-注射用无菌粉末-80mg,注射用无菌粉末,80mg,海南通用康力制药有限公司,6.433,其他基本药物,30,Y,6.477,其他基本药物,30,Y,6.748,其他基本药物,30,Y,7.5,其他基本药物,28,-1.067,-14.23%
3614,八珍-胶囊剂-每粒装0.4g,胶囊剂,每粒装0.4g,通化金马药业集团股份有限公司,0.64,其他基本药物,8,N,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3615,八珍益母-胶囊剂-每粒装0.28g,胶囊剂,每粒装0.28g,江西南昌桑海制药厂,0.6122,其他基本药物,2,Y,0.6122,其他基本药物,2,Y,0.6122,其他基本药物,2,Y,0.6122,其他基本药物,2,0,0.00%
3617,白灵-片剂-复方,片剂,复方,国药集团冯了性（佛山）药业有限公司,0.9621,其他基本药物,1,Y,0.9621,其他基本药物,1,Y,0.9621,其他基本药物,1,Y,0.9621,其他基本药物,1,0,0.00%
3618,白脉-软膏剂-每支装20g,软膏剂,每支装20g,西藏奇正藏药股份有限公司,52.8033,其他基本药物,1,Y,52.8033,其他基本药物,1,Y,52.8033,其他基本药物,1,Y,52.8033,其他基本药物,1,0,0.00%
3620,百乐眠-胶囊剂-每粒装0.27g,胶囊剂,每粒装0.27g,扬子江药业集团有限公司,1.3421,其他基本药物,2,Y,1.3421,其他基本药物,2,Y,1.3421,其他基本药物,2,Y,1.3421,其他基本药物,2,0,0.00%
3622,百令-片剂-每片相当于发酵虫草菌粉0.2g,片剂,每片相当于发酵虫草菌粉0.2g,青海珠峰冬虫夏草药业有限公司,0.7713,其他基本药物,2,Y,0.7713,其他基本药物,2,Y,0.7713,其他基本药物,2,Y,0.7713,其他基本药物,2,0,0.00%
3626,胞磷胆碱-胶囊剂-0.1g,胶囊剂,0.1g,齐鲁制药有限公司,1.5752,其他基本药物,3,Y,1.5752,其他基本药物,3,Y,1.5752,其他基本药物,3,Y,1.5752,其他基本药物,3,0,0.00%
3627,胞磷胆碱-片剂-0.1g,片剂,0.1g,华润双鹤利民药业（济南）有限公司,1.6167,其他基本药物,2,Y,1.6167,其他基本药物,2,Y,1.6167,其他基本药物,2,Y,1.6167,其他基本药物,2,0,0.00%
3628,胞磷胆碱-片剂-0.2g,片剂,0.2g,福建省闽东力捷迅药业有限公司,2.7302,其他基本药物,4,Y,2.7302,其他基本药物,4,Y,2.7302,其他基本药物,4,Y,2.7988,其他基本药物,4,-0.0686,-2.45%
3630,胞磷胆碱钠-氯化钠注射液-100ml:0.25g 玻璃瓶,氯化钠注射液,100ml:0.25g,重庆莱美药业股份有限公司,3.57,其他基本药物,3,Y,3.57,其他基本药物,3,Y,3.61,其他基本药物,3,Y,3.66,其他基本药物,3,-0.09,-2.46%
3637,保济-合剂(含口服液)-每瓶装10ml,合剂(含口服液),每瓶装10ml,广州王老吉药业股份有限公司,1.3024,其他基本药物,2,Y,1.3024,其他基本药物,2,Y,1.3024,其他基本药物,2,Y,1.3024,其他基本药物,2,0,0.00%
3638,葆宫止血-颗粒剂-每袋装15g,颗粒剂,每袋装15g,天津中盛海天制药有限公司,4.7967,其他基本药物,1,Y,4.7967,其他基本药物,1,Y,4.7967,其他基本药物,1,Y,4.7967,其他基本药物,1,0,0.00%
3639,贝敏伪麻-片剂-复方,片剂,复方,地奥集团成都药业股份有限公司,0.9992,其他基本药物,2,Y,0.9992,其他基本药物,2,Y,0.9992,其他基本药物,2,Y,0.9992,其他基本药物,2,0,0.00%
3642,苯溴马隆-片剂-50mg,片剂,50mg,常州康普药业有限公司,1.8,其他基本药物,3,Y,1.8,其他基本药物,3,Y,1.79,其他基本药物,3,Y,1.76,其他基本药物,3,0.04,2.27%
3643,苯溴马隆-胶囊剂-50mg,胶囊剂,50mg,昆山龙灯瑞迪制药有限公司,2.2,其他基本药物,3,Y,2.2,其他基本药物,3,Y,2.2,其他基本药物,2,Y,2.2,其他基本药物,2,0,0.00%
3644,苯扎贝特-片剂-0.2g,片剂,0.2g,哈尔滨市泽尼康药业有限公司,0.463,其他基本药物,6,Y,0.474,其他基本药物,6,Y,0.48,其他基本药物,6,Y,0.4912,其他基本药物,6,-0.0282,-5.74%
3652,鼻渊舒-口服液-每支装10ml,口服液,每支装10ml,成都泰合健康科技集团股份有限公司华神制药厂,1.9711,其他基本药物,2,Y,1.9711,其他基本药物,2,Y,1.9711,其他基本药物,2,Y,1.9711,其他基本药物,2,0,0.00%
3654,比拜克-胶囊剂-每粒装0.36g,胶囊剂,每粒装0.36g,四川金辉药业有限公司,0.9574,其他基本药物,2,Y,0.9574,其他基本药物,2,Y,0.9574,其他基本药物,2,Y,0.9574,其他基本药物,2,0,0.00%
3659,吡格列酮-(盐酸盐)片剂-15mg,(盐酸盐)片剂,15mg,上海朝晖药业有限公司,0.6489,其他基本药物,21,Y,0.4189,其他基本药物,21,Y,0.4189,其他基本药物,21,Y,0.4249,其他基本药物,19,0.224,52.72%
3660,吡格列酮-(盐酸盐)片剂-30mg,(盐酸盐)片剂,30mg,北京太洋药业股份有限公司,1.95,其他基本药物,7,Y,1.966,其他基本药物,7,Y,1.9643,其他基本药物,7,Y,1.8571,其他基本药物,7,0.0929,5.00%
3661,吡格列酮-(盐酸盐)分散片-15mg,(盐酸盐)分散片,15mg,通辽市华邦药业有限公司,1.468,其他基本药物,2,Y,1.4684,其他基本药物,2,Y,1.4678,其他基本药物,2,Y,1.4684,其他基本药物,2,-0.0004,-0.03%
3662,吡格列酮-(盐酸盐)分散片-30mg,(盐酸盐)分散片,30mg,贵州天安药业股份有限公司,2.4682,其他基本药物,1,Y,2.4682,其他基本药物,1,Y,2.4682,其他基本药物,1,Y,2.4682,其他基本药物,1,0,0.00%
3663,吡格列酮-(盐酸盐)胶囊剂-15mg,(盐酸盐)胶囊剂,15mg,广东罗特制药有限公司,0.97,其他基本药物,11,Y,0.97,其他基本药物,11,Y,1,其他基本药物,11,Y,1.05,其他基本药物,11,-0.08,-7.62%
3664,吡格列酮-(盐酸盐)胶囊剂-30mg,(盐酸盐)胶囊剂,30mg,四川绿叶制药股份有限公司,4.3139,其他基本药物,3,Y,4.3139,其他基本药物,3,Y,4.3139,其他基本药物,3,Y,4.3139,其他基本药物,3,0,0.00%
3668,吡柔比星-(盐酸)注射用无菌粉末-10mg,(盐酸)注射用无菌粉末,10mg,海正辉瑞制药有限公司,122.29,其他基本药物,1,Y,122.29,其他基本药物,1,Y,122.29,其他基本药物,1,Y,122.29,其他基本药物,1,0,0.00%
3672,苄星青霉素-注射用无菌粉末-120万单位,注射用无菌粉末,120万单位,江西东风药业股份有限公司,3.172,其他基本药物,3,Y,3.25,其他基本药物,2,N,#N/A,#N/A,#N/A,N,#N/A,#N/A,#N/A,#N/A,#N/A
3677,丙泊酚-注射液-20ml:0.2g,注射液,20ml:0.2g,江苏恩华药业股份有限公司,16.522,其他基本药物,3,Y,26.149,其他基本药物,3,Y,25.87,其他基本药物,3,Y,16.522,其他基本药物,3,0,0.00%
3678,丙泊酚-注射液-50ml:0.5g,注射液,50ml:0.5g,西安力邦制药有限公司,57.1474,其他基本药物,1,Y,57.1474,其他基本药物,1,Y,57.1474,其他基本药物,1,Y,57.1474,其他基本药物,1,0,0.00%
3685,补肾益脑-丸剂-每10丸重2g,丸剂,每10丸重2g,牡丹江灵泰药业股份有限公司,0.4438,其他基本药物,1,Y,0.4438,其他基本药物,1,Y,0.4438,其他基本药物,1,Y,0.4438,其他基本药物,1,0,0.00%
3687,补肾益脑-胶囊剂-每粒装0.35g,胶囊剂,每粒装0.35g,江苏仁寿药业有限公司,0.4302,其他基本药物,3,Y,0.4302,其他基本药物,3,Y,0.4302,其他基本药物,3,Y,0.4302,其他基本药物,3,0,0.00%
3690,补中益气-颗粒剂-每袋装3g,颗粒剂,每袋装3g,北京汉典制药有限公司,3.7213,其他基本药物,1,Y,3.7213,其他基本药物,1,Y,3.7213,其他基本药物,1,Y,3.7213,其他基本药物,1,0,0.00%
3694,布地奈德-雾化混悬液(吸入用)-1mg/2ml/支,雾化混悬液(吸入用),1mg/2ml/支,阿斯利康（无锡）贸易有限公司,14.3227,其他基本药物,1,Y,14.3227,其他基本药物,1,Y,14.3227,其他基本药物,1,Y,14.3227,其他基本药物,1,0,0.00%
3695,"布地奈德福莫特罗-粉吸入剂-80μg/4.5μg/吸,60吸/支",粉吸入剂,"80μg/4.5μg/吸,60吸/支",阿斯利康（无锡）贸易有限公司,158.26,其他基本药物,1,Y,158.26,其他基本药物,1,Y,158.26,其他基本药物,1,Y,158.26,其他基本药物,1,0,0.00%
3696,"布地奈德福莫特罗-粉吸入剂-160μg/4.5μg/吸,60吸/支",粉吸入剂,"160μg/4.5μg/吸,60吸/支",阿斯利康（无锡）贸易有限公司,224.68,其他基本药物,1,N,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3703,布洛芬-滴剂-15ml:0.6g,滴剂,15ml:0.6g,天大药业(珠海)有限公司,7.1552,其他基本药物,2,Y,7.1552,其他基本药物,2,Y,7.1552,其他基本药物,2,Y,7.1327,其他基本药物,2,0.0225,0.32%
3704,布洛芬-滴剂-20ml:0.8g,滴剂,20ml:0.8g,天大药业(珠海)有限公司,10.1167,其他基本药物,1,Y,10.1167,其他基本药物,1,Y,10.1167,其他基本药物,1,Y,10.1167,其他基本药物,1,0,0.00%
3705,布洛芬-口服混悬液-30ml:0.6g,口服混悬液,30ml:0.6g,扬州市三药制药有限公司,2.2219,其他基本药物,2,Y,2.2219,其他基本药物,2,Y,2.2219,其他基本药物,2,Y,2.2219,其他基本药物,2,0,0.00%
3707,布洛伪麻-颗粒剂-0.23g,颗粒剂,0.23g,山东鲁抗医药集团赛特有限责任公司,0.7043,其他基本药物,2,Y,0.7043,其他基本药物,2,Y,0.7043,其他基本药物,2,N,#N/A,#N/A,#N/A,#N/A,#N/A
